                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.23675,                 2.0074,                0.91804,                0.00313,                      1,                0.66375,                0.63887,                0.23832,                 2.8921,                0.77026,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.34786,                 2.0265,                 0.8952,                0.00314,                      1,                0.66375,                0.63902,                0.26764,                  2.874,                0.78372,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      3,                0.35724,                 2.0739,                0.86833,                0.00315,                      1,                0.66375,                0.54823,                0.36493,                 2.8639,                0.81795,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      4,                0.44999,                  1.891,                 1.0331,                0.00316,                      1,                0.62188,                0.50811,                0.44062,                 2.8857,                0.87864,             9.9362e-05,             9.9362e-05,             9.9362e-05
                      5,                0.42997,                 1.8033,                 1.0153,                0.00316,                      1,                0.87063,                0.78369,                0.43722,                 2.8641,                0.88185,             0.00012032,             0.00012032,             0.00012032
                      6,                0.39641,                 1.7501,                0.87069,                0.00316,                      1,                0.87063,                0.71812,                0.43613,                 2.7835,                 0.8669,             0.00013799,             0.00013799,             0.00013799
                      7,                0.43707,                 1.5668,                0.89567,                0.13968,                      1,                0.87063,                0.77954,                0.40706,                 2.6614,                 0.8265,             0.00015235,             0.00015235,             0.00015235
                      8,                0.38559,                 1.5792,                0.89674,                 0.3445,                0.62771,                0.87063,                0.80021,                0.36685,                 2.5893,                0.81821,             0.00016341,             0.00016341,             0.00016341
                      9,                0.32983,                 1.4549,                0.99202,                0.35615,                0.63538,                0.87063,                0.75046,                0.39961,                  2.512,                0.83464,             0.00017117,             0.00017117,             0.00017117
                     10,                0.30894,                 1.3924,                0.97478,                0.44122,                 0.7618,                0.62188,                0.57212,                0.41294,                  2.464,                 0.8394,             0.00017563,             0.00017563,             0.00017563
                     11,                0.41758,                 1.3495,                0.88239,                0.21732,                      1,                0.58083,                0.54767,                0.45343,                 2.4435,                0.86073,             0.00017679,             0.00017679,             0.00017679
                     12,                0.32644,                 1.3157,                0.90428,                0.21732,                      1,                0.58083,                0.54767,                0.45343,                 2.4435,                0.86073,             0.00017464,             0.00017464,             0.00017464
                     13,                0.36104,                 1.2692,                0.84612,                0.41907,                      1,                0.66333,                0.60819,                0.43202,                 2.4009,                0.84168,              0.0001692,              0.0001692,              0.0001692
                     14,                0.38808,                 1.2575,                0.91615,                 0.4407,                      1,                0.66333,                 0.6026,                0.43418,                 2.4041,                0.83217,             0.00016046,             0.00016046,             0.00016046
                     15,                0.39386,                 1.1561,                0.90316,                 0.4407,                      1,                0.66333,                 0.6026,                0.43418,                 2.4041,                0.83217,             0.00014841,             0.00014841,             0.00014841
                     16,                0.38805,                 1.0926,                0.89385,                0.64466,                 0.9956,                0.66333,                0.57504,                 0.4973,                  2.354,                0.85023,             0.00013307,             0.00013307,             0.00013307
                     17,                0.37886,                 1.0845,                0.87956,                0.65991,                0.81404,                0.74625,                 0.6165,                 0.6124,                 2.2957,                0.90026,             0.00011442,             0.00011442,             0.00011442
                     18,                0.32351,                 1.0252,                0.85515,                0.65991,                0.81404,                0.74625,                 0.6165,                 0.6124,                 2.2957,                0.90026,             9.2477e-05,             9.2477e-05,             9.2477e-05
                     19,                0.38784,                 1.0015,                0.91992,                0.67757,                0.80849,                  0.705,                0.58076,                0.63948,                 2.2021,                0.92333,              6.723e-05,              6.723e-05,              6.723e-05
                     20,                0.37736,                 1.1166,                0.85654,                0.67757,                0.80849,                  0.705,                0.58076,                0.63948,                 2.2021,                0.92333,             3.8683e-05,             3.8683e-05,             3.8683e-05
